tweet_text,cyberbullying_type,word_count,cleaned_text,label
Post-Cuomo push to toughen NY sexual harassment laws https://t.co/BgiuSqIbAe,Sexual Harassment,9,postcuomo push to toughen ny sexual harassment laws,3
"Push to toughen NY sexual harassment laws that Gov. Cuomo himself enacted – then violated, according to the AG's re… https://t.co/Jz4FNpE7m2",Sexual Harassment,21,push to toughen ny sexual harassment laws that gov cuomo himself enacted  then violated according to the ags re,3
@GabbieHanna As if Trisha didn’t accuse him of sexual harassment and as if she hadn’t try to ruin his life @h3h3productions  bitch please,Sexual Harassment,23,as if trisha didnt accuse him of sexual harassment and as if she hadnt try to ruin his life   bitch please,3
@fentsemadii True is that 🔥 thou I know nothing about the sexual harassment😩,Sexual Harassment,13,true is that  thou i know nothing about the sexual harassment,3
Watch the recap video of the two-day hands-on Executive Workshop on Anti-Sexual Harassment Policies in Lebanese Wor… https://t.co/SvkN89kfXk,Sexual Harassment,18,watch the recap video of the twoday handson executive workshop on antisexual harassment policies in lebanese wor,3
I think this is sexual harassment.  The duck is pushing her off with all his mite https://t.co/6VHKcI7MTi,Sexual Harassment,17,i think this is sexual harassment  the duck is pushing her off with all his mite,3
"cases of sexual harassment and abuse can never be reduced to just ""tea"" and i think some of you still have to be re… https://t.co/IQB1ULferu",Sexual Harassment,25,cases of sexual harassment and abuse can never be reduced to just tea and i think some of you still have to be re,3
Sexual harassment policies don’t exist in most churches. You’ll be branded as a liar and a Jezebel who wants to bri… https://t.co/7tHtsf0MqU,Sexual Harassment,22,sexual harassment policies dont exist in most churches youll be branded as a liar and a jezebel who wants to bri,3
@TheLeadCNN Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment sp… https://t.co/YFzyU4gqkS,Sexual Harassment,18,bidens afghanistan speech yesterday was as tone deaf and career ending as cuomos sexual harassment sp,3
"Chris Cuomo Breaks Silence About Andrew Cuomo’s Resignation Amid Sexual Harassment Allegations
https://t.co/VnYJaaPZ7I",Sexual Harassment,13,chris cuomo breaks silence about andrew cuomos resignation amid sexual harassment allegations,3
The New York state Assembly’s Judiciary Committee will still release its investigative report into Gov. Andrew Cuom… https://t.co/4CIvneWeTh,Sexual Harassment,18,the new york state assemblys judiciary committee will still release its investigative report into gov andrew cuom,3
"@POTUS Sadly, your Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment spe… https://t.co/7hBAdYbwY9",Sexual Harassment,19,sadly your afghanistan speech yesterday was as tone deaf and career ending as cuomos sexual harassment spe,3
The New York state Assembly’s Judiciary Committee will still release its investigative report into Gov. Andrew Cuom… https://t.co/sA5STyObnu,Sexual Harassment,18,the new york state assemblys judiciary committee will still release its investigative report into gov andrew cuom,3
"Rivers Lecturers Suspended Over Alleged Sexual Harassment, Extortion https://t.co/lViyyKB6Qy",Sexual Harassment,9,rivers lecturers suspended over alleged sexual harassment extortion,3
@BillKristol Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment s… https://t.co/L8hsGPnPre,Sexual Harassment,18,bidens afghanistan speech yesterday was as tone deaf and career ending as cuomos sexual harassment s,3
@seanhannity @LaraLeaTrump @laralogan Coming from a man who works for a company that’s been sued multiple times for… https://t.co/7qXMpTzUVn,Sexual Harassment,19,coming from a man who works for a company thats been sued multiple times for,3
Sexual Harassment: Lecturer Suspended For Three Months - https://t.co/rGb6jNBb9X,Sexual Harassment,9,sexual harassment lecturer suspended for three months,3
"tw // fetish , sexual harassment

wtf????? https://t.co/DvOi2hYD44",Sexual Harassment,8,"tw  fetish  sexual harassment

wtf",3
"@_ali__raza You’re a Muslim, right? Pakistan?? India?? Your name is a common in South Asia.
Don’t you have any sham… https://t.co/yVfHCSgfoz",Sexual Harassment,21,"youre a muslim right pakistan india your name is a common in south asia
dont you have any sham",3
". @Ubisoft reportedly investigated by @TAFEPSG for sexual harassment and #discrimination claims

#diversity #HR #PR… https://t.co/Bp5sBUkDJR",Sexual Harassment,16,reportedly investigated by  for sexual harassment and  claims,3
@davidaxelrod @POTUS Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual hara… https://t.co/EE91ZmqV2t,Sexual Harassment,18,bidens afghanistan speech yesterday was as tone deaf and career ending as cuomos sexual hara,3
"Rivers Lecturers Suspended Over Alleged Sexual Harassment, Extortion
https://t.co/bcFEyhBXN8",Sexual Harassment,9,rivers lecturers suspended over alleged sexual harassment extortion,3
@romanospili Sexual Harassment!!!,Sexual Harassment,3,sexual harassment,3
@amyklobuchar Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment… https://t.co/TAIYvNAF2z,Sexual Harassment,17,bidens afghanistan speech yesterday was as tone deaf and career ending as cuomos sexual harassment,3
"Addressing online abuse, harassment, and victim-blaming may feel like a dauntingly large task. But culture change b… https://t.co/hETm9MApC8",Sexual Harassment,18,addressing online abuse harassment and victimblaming may feel like a dauntingly large task but culture change b,3
@cnnbrk Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment speech… https://t.co/j77PwjE3H2,Sexual Harassment,18,bidens afghanistan speech yesterday was as tone deaf and career ending as cuomos sexual harassment speech,3
@MSNBC Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment speech.… https://t.co/4Vll5eSt7w,Sexual Harassment,18,bidens afghanistan speech yesterday was as tone deaf and career ending as cuomos sexual harassment speech,3
